TIPO,RESPOSTA,PARAGRAFO
R3,DISCORDO DE QUASE TUDO,"Apesar de você experimentar esquecimentos ocasionais e uma certa desorganização mental, seu teste sugere que talvez sejam causados por estresse e cansaço, não por um prejuízo cognitivo ligado a traumas.  "
R3,CONCORDO EM PARTE,"Seu teste sugere que você provavelmente enfrenta dificuldades nesse campo e pode ter sensações repetidas de sobrecarga e desorganização mental, sobretudo em momentos de maior estresse. Nesse caso, é importante tentar desenvolver mecanismos de manejo do estresse para não sofrer um desgaste desnecessário, e saber identificar a hora de parar e cuidar de você, para então poder dar conta das demandas externas.  "
R3,CONCORDO TOTALMENTE,"Seu teste aponta para uma grande dificuldade nesse campo, com sensações recorrentes de sobrecarga e desorganização mental, sobretudo em fases de maior estresse. Nesse caso, é importante tentar desenvolver mecanismos de manejo do estresse e criar uma rotina consistente de autocuidado, por mais simples e breve que seja, que permita dar conta das demandas sem se esgotar. Lembre-se: dedicar tempo e energia ao seu bem-estar não é um ato de egoísmo, mas uma questão de autopreservação. "
P4,4 PENSAMENTOS INTRUSIVOS & FLASHBACKS,"O trauma também se caracteriza pela presença de <b>pensamentos intrusivos e flashbacks</b>, situações em que a pessoa revive de forma muito realista as sensações físicas e emocionais ligadas ao evento traumático, muitas vezes sem conseguir identificar o que causou esta re-experiência (o gatilho). Isso acontece porque a memória implícita ligada a um trauma (ou seja, as sensações físicas e emocionais do momento do trauma que ficam registradas no corpo de forma inconsciente) pode ser facilmente acionada por estímulos sensoriais do presente: cheiros, sons, imagens e sensações táteis que nos fazem sentir como nos sentimos no evento traumático. Esses “gatilhos” sensoriais são predominantemente inconscientes, e causam um desconforto físico e emocional tão grande que acabamos respondendo a situações aparentemente inofensivas de forma “exagerada”, “intensa” ou “dramática”. No entanto, esse suposto exagero, essa intensidade e o drama interno são reais, mas podem não fazer sentido para quem vê de fora."
R4,DISCORDO TOTALMENTE ,"Mas os resultados do seu teste não apontam para pensamentos intrusivos ou flashbacks, o que é uma ótima notícia! Estes dois sintomas estão muito presentes na vida de pessoas com trauma severo, causam intenso sofrimento e são difíceis de tratar. É muito bom que esse não seja o seu caso.  "
R4,DISCORDO DE QUASE TUDO ,"É possível que você tenha algum pensamento perturbador ocasionalmente, ou que relembre os desconfortos físicos e emocionais de momentos ruins que já viveu (o que é bem diferente de ter um flashback), mas seus resultados não sugerem que isso seja frequente, nem que arruíne o seu dia."
R4,CONCORDO EM PARTE ,"Os resultados do seu teste apontam para algumas ocorrências de pensamentos intrusivos que causam desconforto e agitação, mas não parecem arruinar o seu dia. Isso indica que sua capacidade de restabelecer o equilíbrio está preservada, mesmo que possa demorar mais do que você gostaria. Hoje sabemos pela experiência que casos de trauma significativo ou severo dificilmente melhoram com monoterapias (quando se faz somente uma forma de tratamento, seja psicoterapia ou tratamento psiquiátrico medicamentoso); a pesquisa especializada mostra índices muito mais animadores de melhora dos quadros cognitivos, emocionais e físicos quando o trabalho <i>corporal</i> é integrado às terapias tradicionais por meio da prática de yoga, técnicas de respiração e relaxamento (<i>mindfulness</i>), hidroginástica, dança, caminhadas e até mesmo cantar em coral ou atuar em cursos de teatro. Esta abordagem “tríplice” se mostrou mais eficaz e menos demorada na redução de sintomas do que terapias convencionais."
R4,CONCORDO TOTALMENTE,"Os resultados do seu teste sugerem que você sofre pensamentos intrusivos e até mesmo flashbacks com regularidade, e que causam uma forte perturbação ao seu equilíbrio emocional. Estes dois sintomas estão muito presentes na vida de pessoas com traumas significativos (T3) e severos (T4), e não é o tipo de dificuldade que se possa superar sem apoio adequado. O tratamento requer uma abordagem holística em que as três dimensões afetadas pelo trauma sejam observadas, avaliadas e cuidadas: cognição (sobretudo padrões de pensamento, autoimagem e percepção do mundo), estado emocional (ansiedade, angústia, raiva e estados depressivos) e imprints físicos do trauma (tensões musculares, dores crônicas, distúrbios do sono e problemas crônicos de saúde). Em função da complexidade e extensão dos prejuízos do trauma, o sucesso do tratamento depende muito desta abordagem integrada. Hoje sabemos pela experiência que casos de trauma significativo ou severo dificilmente melhoram com monoterapias (quando se faz somente uma forma de tratamento dos sintomas, seja psicoterapia ou tratamento psiquiátrico medicamentoso); a pesquisa especializada mostra índices muito mais animadores de melhora dos quadros cognitivos, emocionais e físicos quando o trabalho <i>corporal</i> é integrado às terapias tradicionais por meio da prática de yoga, técnicas de respiração e relaxamento (<i>mindfulness</i>), hidroginástica, dança, caminhadas e até mesmo pela prática de cantar em coral ou atuar em cursos de teatro. Sessões de <i>neurofeedback</i> também têm se mostrado muito eficazes no tratamento do estresse pós-traumático. Esta abordagem “tríplice” se mostrou mais eficaz e menos demorada na redução de sintomas do que as terapias convencionais."
P5,5 PESADELOS e TERROR NOTURNO,"A qualidade dos <b>nossos sonhos</b> também é afetada, e é comum pessoas com traumas não-resolvidos terem sonhos vívidos e assustadores. Quando temos pesadelos intensos recorrentes, é sinal de que nosso cérebro está tentando processar experiências traumáticas e sentimentos reprimidos que não foram integrados pela consciência. O trauma pode levar à fragmentação da memória, fazendo com que essas experiências retornem em forma de sonhos assustadores e desorganizados. Num grau mais acentuado, estes pesadelos podem se transformar em <i>terror noturno</i> – um distúrbio caracterizado por medo intenso, gritos, choro, suor excessivo ou movimentos bruscos durante o sono profundo, do qual é muito difícil despertar.  O terror noturno, embora ocorra enquanto dormimos, é semelhante aos <i>flashbacks</i> na medida em que consome muita energia psíquica e pode deixar a pessoa num estado de profunda desorientação (ou mesmo pânico) ao despertar, o que aponta para um prejuízo cognitivo. 
"
R5,DISCORDO TOTALMENTE,"Felizmente, você não teve a qualidade dos seus sonhos afetada pelas experiências potencialmente traumáticas que viveu. Pode até ter pesadelos eventuais, o que é absolutamente natural, mas está longe de ter seu humor afetado por eles, ou de sofrer terror noturno.  "
R5,DISCORDO DE QUASE TUDO,"Talvez você tenha pesadelos vívidos de vez em quando, o que é absolutamente natural, mas os resultados do seu teste não sugerem que sejam recorrentes e intensos, e muito menos que você tenha terror noturno – e isso é muito bom! O mais importante é que pesadelos eventuais não causem desorganização mental nem prejudiquem o seu humor. "
R5,CONCORDO EM PARTE ,"Você pode ter pesadelos intensos com alguma regularidade, e é possível que já tenha tido terror noturno, mas isso não parece arruinar completamente o seu dia. Diante de sonhos perturbadores, que chegam a afetar o seu humor,  é importante criar estratégias de “aterramento” que te ajudem a recuperar o equilíbrio, a sair do estado de agitação e conseguir diferenciar sonho de realidade. Você também pode tentar melhorar o sono com algumas medidas simples, como ter uma rotina de sono estabelecida, evitar álcool, cafeína, açúcar e qualquer substância estimulante a partir do fim da tarde, não usar tecnologia após o jantar, por exemplo, e não ler nem assistir nada violento. A prática de exercícios de relaxamento (meditação, respiração diafragmática e <i>mindfulness</i>) também pode ajudar a reduzir o impacto do trauma nos sonhos. "
R5,CONCORDO TOTALMENTE,"Você provavelmente tem pesadelos intensos com regularidade, que não só atrapalham a qualidade do seu sono como afetam o seu humor durante o dia. Eles podem ser tão intensos que caracterizam terror noturno. Nesse caso, é muito importante criar estratégias de “aterramento” que ajudem a recuperar o equilíbrio e a sair do estado de agitação. Você também pode tentar melhorar o sono com algumas medidas simples, como ter uma rotina de sono estabelecida, evitar álcool, cafeína, açúcar e qualquer substância estimulante a partir do fim da tarde, não usar tecnologia após o jantar, por exemplo, e não ler nem assistir nada violento. A prática de exercícios de relaxamento (meditação, respiração diafragmática e <i>mindfulness</i>) também pode ajudar a reduzir o impacto do trauma nos sonhos. O terror noturno associado a trauma severo precisa de um tratamento estruturado, com foco em terapia para processar o trauma e, se necessário, suporte medicamentoso. Sessões de <i>neurofeedback</i> também podem ser eficazes na redução de sintomas associados ao estresse pós-traumático. "
P6,6 PERCEPÇÃO & AUTOESTIMA,"Outra função cognitiva afetada é a forma <b>como enxergamos a nós mesmos</b>. O trauma prejudica a autoestima, a autoconfiança, gera crenças negativas sobre si mesmo e uma autocrítica excessiva. Nossa percepção é distorcida, de modo que nos tornamos muito mais atentos a estímulos ameaçadores, ou que são <i>percebidos</i> como uma ameaça, já que o trauma nos leva a interpretar tudo por um viés negativo.  "
R6,DISCORDO TOTALMENTE,"Mas suas respostas não indicam problemas de autoimagem, nem sugerem que você interpreta o comportamento alheio por um viés persecutório. "
R6,DISCORDO DE QUASE TUDO,"Mas suas respostas não indicam problemas de autoimagem, nem sugerem que você interpreta o comportamento alheio por um viés persecutório. Você pode até ter uma forte autocrítica, e alguns momentos de insegurança, mas isso não determina sua percepção de como os outros te enxergam. "
R6,CONCORDO EM PARTE ,"Suas respostas sugerem que você pode ter insegurança com alguma regularidade, e um possível sentimento de inadequação, o que pode estar ligado a um excesso de críticas e repreensões na infância e adolescência. Essas críticas podem ter sido introjetadas desde muito cedo, se tornando o “filtro” através do qual você se enxerga (e acredita que é como te enxergam). Mas esse viés “persecutório” não corresponde à realidade e pode mudar. Hoje sabemos com bastante segurança que o exercício da autocompaixão pode minimizar o impacto dessa voz crítica interna, e levar a uma autopercepção mais equilibrada.  
"
R6,CONCORDO TOTALMENTE,"Suas respostas sugerem que você tem sentimentos intensos e constantes de insegurança e inadequação, o que pode estar ligado a um excesso de críticas e repreensões na infância e adolescência. Essas críticas foram introjetadas desde cedo e se tornaram o principal “filtro” através do qual você se enxerga – e acredita que é a forma como os outros te vêem. Por isso se diz que pessoas com trauma severo “vêem o mundo por uma lente cinza”. Mas essa lente persecutória não corresponde à realidade e precisa mudar. Sabemos que o exercício da autocompaixão pode minimizar o impacto dessa voz crítica interna e levar uma percepção mais equilibrada de si e do mundo. Acompanhamento terapêutico contínuo, individual ou em grupo, também pode ajudar na reconstrução da autoimagem."
P7,7 PERCEPÇÃO e VISÃO DE MUNDO,"Nossas <b>interpretações</b> do comportamento alheio também mudam: podemos nos tornar mais pessimistas, fatalistas e até mesmo paranóicos quando alguém deixa de se comunicar ou demora a responder. O trauma cria uma forte tendência a imaginar o pior, seja em relação ao que pode ter acontecido à pessoa (“terá sofrido um acidente?”) ou ao que ela pensa sobre nós (“estará brava comigo?”).  
"
R7,DISCORDO TOTALMENTE,"Suas respostas, no entanto, não refletem uma tendência a imaginar o pior, nem uma possível paranóia em relação ao que pensam de você. Sua percepção do comportamento alheio parece equilibrada e tranquila.  "
R7,DISCORDO DE QUASE TUDO,"Suas respostas, no entanto, não refletem uma forte tendência a imaginar o pior, nem uma grande paranóia em relação ao que pensam de você. Ausências inesperadas ou demora na resposta podem gerar ansiedade, mas não parecem impregnadas de interpretações fatalistas ou dúvidas sobre o que as pessoas sentem por você."
R7,CONCORDO EM PARTE ,"Suas respostas refletem uma tendência a imaginar o pior, e talvez até uma certa paranóia em relação ao que pensam de você. Ausências inesperadas ou demora na resposta parecem causar ansiedade, desencadeando fantasias fatalistas e insegurança sobre o que sentem por você. Nessa hora, a melhor saída é usar técnicas de <i>regulação emocional</i> para evitar que as fantasias negativas te dominem. Lembre-se: até saber exatamente o que aconteceu, tudo o que você imaginar é apenas isto: pura imaginação. "
R7,CONCORDO TOTALMENTE,"Suas respostas refletem uma forte tendência a imaginar o pior, além de muita paranóia em relação ao que pensam de você. Ausências inesperadas ou demora na resposta geram grande ansiedade, desencadeando fantasias totalmente fatalistas e profunda insegurança sobre o que sentem por você. Isso acontece porque traumas não-resolvidos deixam o sistema nervoso em estado de alerta, e qualquer possível ameaça, <i>real ou imaginada</i>, ativa as respostas de estresse, inviabilizando o pensamento racional e acentuando o medo, a insegurança e a sensação de desamparo. Nessa hora, a melhor saída é usar técnicas de <i>regulação emocional</i> para evitar que as fantasias negativas te dominem. Lembre-se: até saber exatamente o que aconteceu, tudo o que você imaginar é apenas isto: pura imaginação. "
P8,8 AUTORREGULAÇÃO EMOCIONAL,"Além disso, o trauma afeta nossa capacidade de <b>autorregulação emocional</b>. Esta habilidade se desenvolve lentamente ao longo da infância, a partir da interação com adultos compreensivos e acolhedores, que emprestam sua própria calma e maturidade para a criança atravessar momentos de estresse até que ela se acalme. Esta forma de interação é chamada de <i>corregulação emocional</i>, quando o sistema nervoso maduro de um adulto ajuda a regular o sistema nervoso imaturo de uma criança. É a partir deste processo que desenvolvemos a capacidade de <i>autorregulação</i>, ou seja, a habilidade de controlar nossas próprias emoções sem atingir níveis extremos, seja pelo excesso ou pela falta de reações emocionais. Esta dificuldade se agrava ainda mais em pessoas com baixa autoestima: quando se sentem criticadas e rejeitadas, respondem de forma explosiva, agressiva, e se mostram profundamente abaladas. São os casos de <i>disforia sensível à rejeição</i>, muito presente em pessoas com traumas, e associada também ao TDAH e ao espectro autista."
R8,DISCORDO TOTALMENTE,"Mas seu teste não aponta para uma dificuldade em lidar com críticas ou rejeição, o que demonstra que sua autoestima e o reconhecimento de seu próprio valor estão em dia. Você parece à vontade com a ideia de que nem todos precisam gostar de você, e não parece precisar desesperadamente da aprovação ou afeição alheia. "
R8,DISCORDO DE QUASE TUDO,"Mas seu teste não aponta para uma dificuldade em lidar com críticas, ou que se abale muito com rejeições. Você pode não gostar de passar por isso, mas não sofre intensamente quando acontece. Você entende que nem todos vão necessariamente gostar de você, assim como você também não gosta de todo mundo, certo?"
R8,CONCORDO EM PARTE ,"Seu teste aponta para uma preocupação constante com autoimagem e necessidade de validação externa, e que se abala quando sofre críticas ou rejeição. Esse sofrimento pode estar ligado a uma autoimagem negativa e à dúvida em relação ao seu valor, talvez por não ter tido suas qualidades reconhecidas na infância (ou por ter sofrido críticas pesadas desde cedo). Seja qual for a origem dessa dor, o desejo de validação ainda existe, o que torna as críticas e rejeições tão dolorosas. Aprender a reconhecer o seu próprio valor, suas conquistas, a acolher seus sentimentos e a cuidar bem de você é crucial para libertar-se da dor da rejeição. Seria muito bom tentar desenvolver algumas ferramentas de regulação emocional, para evitar não só as explosões, mas a vergonha e a ressaca emocional que vem depois. "
R8,CONCORDO TOTALMENTE,"Seu teste sugere que você tem uma preocupação constante com autoimagem e uma grande necessidade de validação externa, se abalando fortemente quando sofre críticas ou rejeição. Esse intenso sofrimento pode estar ligado a uma autoimagem negativa e à dúvida em relação ao seu valor, talvez por não ter tido suas qualidades reconhecidas na infância (ou por ter sofrido críticas pesadas desde cedo). Seja qual for a origem dessa dor, o desejo de validação ainda existe, o que torna as críticas e rejeições tão dolorosas. Aprender a reconhecer o seu próprio valor, suas conquistas, a acolher seus sentimentos e a cuidar bem de você é crucial para libertar-se da dor da rejeição. Seria ótimo tentar desenvolver algumas ferramentas de regulação emocional, para evitar não só as explosões, mas a vergonha e a ressaca emocional que vem depois. Sessões de <i>neurofeedback</i> também têm se mostrado eficazes no tratamento de sintomas associados ao estresse pós-traumático. "
P9,9 FUNÇÕES EXECUTIVAS: TOMADA DE DECISÕES,"A dificuldade para <b>tomar decisões</b>, por sua vez, é muito comum entre pessoas com traumas não-resolvidos, sobretudo traumas de infância associados à restrição ou punição da autonomia. Pessoas que cresceram com medo de errar tornam-se adultos inseguros, indecisos, que muitas vezes “paralisam” diante de escolhas importantes, pois têm muita dificuldade para confiar em seu próprio julgamento. 
"
R9,DISCORDO TOTALMENTE,"Mas não é o seu caso: você consegue tomar decisões de forma confiante e equilibrada, sem a ansiedade típica de quem foi muito punido quando cometia um erro na infância. "
R9,DISCORDO DE QUASE TUDO,"Mas não parece ser o seu caso: você pode sentir uma ligeira insegurança sempre que tem que decidir algo importante, mas isso não chega a abalar seu equilíbrio, nem impedir que você faça escolhas.  "
R9,CONCORDO EM PARTE ,"Parece que tomar decisões é motivo de grande ansiedade para você, e isso pode causar uma tendência à <i>procrastinação</i>. Tente exercitar a autocompaixão, para tirar o peso da possibilidade do erro de seus ombros (todo mundo erra, e é assim que aprendemos), e experimente técnicas de <i>visualização</i>: imagine, para cada decisão, diferentes cenários e potenciais consequências. Isso reduz o medo da incerteza e te prepara melhor para os ganhos e perdas envolvidos em cada escolha que fazemos."
R9,CONCORDO TOTALMENTE,"Parece que você se sente profundamente desconfortável e tem muita ansiedade diante de escolhas importantes, e isso faz você adiar ao máximo a decisão. Esse desconforto pode impactar sua vida pessoal e profissional e limitar sua autonomia. Tente exercitar a autocompaixão, para tirar o peso da possibilidade do erro de seus ombros (todo mundo erra, e é assim que aprendemos), e experimente técnicas de <i>visualização</i>: imagine, para cada decisão, diferentes cenários e potenciais consequências. Isso reduz o medo da incerteza e te prepara melhor para os ganhos e perdas envolvidos em cada escolha que fazemos."
P10,10 DIFICULDADE EM PLANEJAR O FUTURO,"A capacidade de <b>planejar o futuro</b> também é prejudicada pelo trauma. Nossa habilidade de planejamento depende muito do bom desenvolvimento das funções executivas do cérebro; porém, quando o ambiente onde crescemos é instável, inseguro ou altamente imprevisível, aprendemos a focar apenas no presente imediato para sobreviver, o que impacta a habilidade de estabelecer metas e visualizar objetivos de longo prazo.
"
R10,DISCORDO TOTALMENTE,"Seu este, no entanto, mostra que você tem clareza dos seus objetivos e consegue fazer planos de médio e longo prazo sem dificuldade."
R10,DISCORDO DE QUASE TUDO,"Seu teste, no entanto, sugere que mesmo com alguma dificuldade pontual para definir metas, você consegue imaginar e planejar o seu futuro."
R10,CONCORDO EM PARTE ,"Seu teste sugere que a ideia de planejar o futuro pode gerar ansiedade e insegurança, sendo uma tarefa um tanto árdua para você. Além das funções executivas, a habilidade de planejamento também depende muito de ter um bom <i>autoconhecimento</i> – do contrário, como fazer escolhas de futuro com alguma segurança? E, ainda, é preciso ter um bom <i>equilíbrio emocional</i>, pois estados como depressão e ansiedade consomem muita energia e distorcem as projeções de futuro. Com um ambiente interno turbulento, é quase impossível planejar o que quer que seja. Para acalmar a mente, não há nada como acalmar o corpo. Uma mente mais calma permitirá que você dedique algum tempo para o seu autoconhecimento, para descobrir o que gosta, o que sente e o que quer. Sabendo, é claro, que toda escolha sempre envolve alguma perda, e nem sempre é fácil decidir o que ganhar e o que perder."
R10,CONCORDO TOTALMENTE,"Seu teste aponta para uma grande dificuldade de planejar o futuro e estabelecer metas. Além das funções executivas, a habilidade de planejamento também depende muito de ter um bom <i>autoconhecimento</i> – do contrário, como fazer escolhas de futuro com alguma segurança? E, ainda, é preciso ter um bom <i>equilíbrio emocional</i>, pois estados como depressão e ansiedade consomem muita energia e distorcem as projeções de futuro. Com um ambiente interno turbulento, é quase impossível planejar o que quer que seja. O primeiro passo para melhorar esse ambiente é praticar exercícios de regulação emocional, como os já mencionados respiração profunda, <i>mindfulness</i>, meditação ou yoga. Pode ser irritante ler de novo as mesmas recomendações, mas acredite: elas fazem maravilhas para pessoas com traumas não-resolvidos, e são excelentes ferramentas de autorregulação emocional. Mas, como todo exercício, é preciso paciência e muita dedicação. Pode não ser fácil no começo, mas os benefícios aparecem já nas primeiras tentativas. Para acalmar a mente, não há nada como acalmar o corpo. Uma mente mais calma permitirá que você dedique algum tempo para o seu autoconhecimento, para descobrir o que gosta, o que sente e o que quer. Sabendo, é claro, que toda escolha sempre envolve alguma perda, e nem sempre é fácil decidir o que ganhar e o que perder. É muito importante você visualizar um futuro positivo, imaginando-se como gostaria de estar daqui a um tempo. Comece estabelecendo metas simples e realistas para não se sobrecarregar, e aceite que frustrar-se faz parte de qualquer aprendizado. "
P11,11 PESSIMISMO/ PERCEPÇÃO DO MUNDO DISTORCIDA ,"Além de afetar a capacidade de imaginar um bom futuro, o trauma também impacta de forma negativa nossa <b>visão de mundo</b>, nos fazendo acreditar que nada pode melhorar e que as dificuldades de hoje são permanentes. Cria-se um padrão de pensamento rígido, distorcido e fatalista, em que não há espaço para a possibilidade de melhora. 
"
R11,DISCORDO TOTALMENTE,Mas não é isso que o seu teste mostra. Sua visão de mundo parece bem equilibrada e confiante em mudanças positivas. 
R11,DISCORDO DE QUASE TUDO,"Mas não é isso que o seu teste mostra. Você pode ter momentos breves de pessimismo, o que é natural, mas sua visão de mundo parece equilibrada. "
